0;220;220;1
0;220;880;4
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
0;220;1760;8
50;110;110;8
50;1,35E-14;330;8
50;-110;330;5,333333333
50;-190,5255888;-520,5255888;5,555136271
50;-220;-1231,576766;6,799038106
50;-190,5255888;-1612,627944;7,665063509
50;-110;-1561,576766;7,665063509
50;-4,04E-14;-1092,102355;7,665063509
50;110;-330;7,665063509
50;190,5255888;520,5255888;7,665063509
50;220;1231,576766;7,665063509
50;190,5255888;1612,627944;7,665063509
50;110;1561,576766;7,665063509
50;6,74E-14;1092,102355;7,665063509
50;-110;330;7,665063509
50;-190,5255888;-520,5255888;7,665063509
50;-220;-1231,576766;7,665063509
50;-190,5255888;-1612,627944;7,330127019
100;-110;-110;7,330127019
100;-220;-550;7,330127019
100;-110;-1210;7,330127019
100;110;-1100;7,330127019
100;220;110;7,330127019
100;110;1210;7,330127019
100;-110;1100;7,330127019
100;-220;-110;7,330127019
100;-110;-1210;7,330127019
100;110;-1100;7,330127019
100;220;110;7,330127019
100;110;1210;7,214101615
100;-110;1100;6,415063509
100;-220;-110;6,415063509
100;-110;-1210;6,415063509
100;110;-1100;6,415063509
100;220;110;6,415063509
100;110;1210;5,5
150;-220;-220;5,5
150;-4,04E-14;-660;5,5
150;220;-660;5,5
150;6,74E-14;660;5,5
150;-220;660;5,5
150;-9,43E-14;-660;5,5
150;220;-660;5,5
150;-2,70E-13;660;5,5
150;-220;660;5,5
150;-5,39E-13;-660;5,5
150;220;-660;5,5
150;-2,16E-13;660;5,5
150;-220;660;5,5
150;-5,93E-13;-660;5,5
150;220;-660;5,25
150;-1,62E-13;660;4,25
150;-220;660;4,25
150;-6,47E-13;-660;3
200;-110;-110;3
200;220;-110;3
200;-110;110;3
200;-110;440;3
200;220;-550;3
200;-110;110;3
200;-110;440;3
200;220;-550;3
200;-110;110;3
200;-110;440;3
200;220;-550;3
200;-110;110;3
200;-110;440;3
200;220;-550;3
200;-110;110;3
200;-110;440;3
200;220;-550;3,333333333
200;-110;110;3
250;110;110;3
250;6,74E-14;330;3
250;-110;330;3
250;190,5255888;-139,4744112;3
250;-220;-88,4232335;2,25
250;190,5255888;292,6279442;2,25
250;-110;-418,4232335;2,25
250;-5,93E-13;432,1023553;2,25
250;110;-330;2,25
250;-190,5255888;139,4744112;2,25
250;220;88,4232335;2,25
250;-190,5255888;-292,6279442;2,25
250;110;418,4232335;2,25
250;1,51E-12;-432,1023553;2,25
250;-110;330;2,25
250;190,5255888;-139,4744112;2,232050808
250;-220;-88,4232335;1,964101615
250;190,5255888;292,6279442;1,964101615
